Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
.,org.jedit.io,Native2ASCIIEncodingTest,oneTimeSetUp,6,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,oneTimeTearDown,6,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,setUp,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,tearDown,4,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,getReader,5,1,1
.,org.jedit.io,Native2ASCIIEncodingTest,getThrottledReader,5,1,1
.,org.jedit.io,Native2ASCIIEncodingTest,getPermissiveReader,5,1,1
.,org.jedit.io,Native2ASCIIEncodingTest,getThrottledPermissiveReader,5,1,1
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldConvertEscapeSequence,4,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldConvertEscapeSequence,5,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldConvertEscapeSequence,5,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldConvertEscapeSequence,7,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldThrowExceptionOnIncompleteEscapeSequence,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldThrowExceptionOnIncompleteEscapeSequence,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldThrowExceptionOnIncompleteEscapeSequence,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldThrowExceptionOnIncompleteEscapeSequence,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldThrowExceptionOnMissingInputAfterU,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldThrowExceptionOnMissingInputAfterU,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldThrowExceptionOnMissingInputAfterU,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldThrowExceptionOnMissingInputAfterU,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldThrowExceptionOnMalformedInput,5,2,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldThrowExceptionOnMalformedInput,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldThrowExceptionOnMalformedInput,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldThrowExceptionOnMalformedInput,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveReadShouldAcceptIncompleteEscapeSequence,15,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_ShouldAcceptIncompleteEscapeSequence,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_int_int_ShouldAcceptIncompleteEscapeSequence,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_CharBuffer_ShouldAcceptIncompleteEscapeSequence,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveReadShouldAcceptMissingInputAfterU,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_ShouldAcceptMissingInputAfterU,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_int_int_ShouldAcceptMissingInputAfterU,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_CharBuffer_ShouldAcceptMissingInputAfterU,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveReadShouldAcceptMalformedInput,39,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_ShouldAcceptMalformedInput,22,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_int_int_ShouldAcceptMalformedInput,22,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_CharBuffer_ShouldAcceptMalformedInput,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldCorrectlyHandleEOF,4,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldCorrectlyHandleEOF,4,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldCorrectlyHandleEOF,4,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldCorrectlyHandleEOF,6,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldCorrectlyHandleEOFAfterBackslash,7,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldCorrectlyHandleEOFAfterBackslash,5,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldCorrectlyHandleEOFAfterBackslash,5,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldCorrectlyHandleEOFAfterBackslash,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldCorrectlyHandleLessThan5NonEscapeCharactersAfterBackslash,15,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldCorrectlyHandleLessThan5NonEscapeCharactersAfterBackslash,10,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldCorrectlyHandleLessThan5NonEscapeCharactersAfterBackslash,10,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldCorrectlyHandleLessThan5NonEscapeCharactersAfterBackslash,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldThrowExceptionOnMalformedInputWithThrottledReader,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldThrowExceptionOnMalformedInputWithThrottledReader,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldThrowExceptionOnMalformedInputWithThrottledReader,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldThrowExceptionOnMalformedInputWithThrottledReader,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldConvertEscapeSequenceWithThrottledInputStream,4,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldConvertEscapeSequenceWithThrottledInputStream,5,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldConvertEscapeSequenceWithThrottledInputStream,5,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldConvertEscapeSequenceWithThrottledInputStream,6,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldReadBackslashWithoutFollowingUAsBackslash,19,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldReadBackslashWithoutFollowingUAsBackslash,12,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldReadBackslashWithoutFollowingUAsBackslash,12,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldReadBackslashWithoutFollowingUAsBackslash,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveReadShouldAcceptMalformedInputWithThrottledReader,17,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_ShouldAcceptMalformedInputWithThrottledReader,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_charArray_int_int_ShouldAcceptMalformedInputWithThrottledReader,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,permissiveRead_CharBuffer_ShouldAcceptMalformedInputWithThrottledReader,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_shouldReadOnAfterCollapsingEscapeSequences,17,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_shouldReadOnAfterCollapsingEscapeSequences,17,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_shouldReadOnAfterCollapsingEscapeSequences,7,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldIgnoreEscapeSequenceThatFollowsOneBackslash,19,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldIgnoreEscapeSequenceThatFollowsOneBackslash,12,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldIgnoreEscapeSequenceThatFollowsOneBackslash,12,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldIgnoreEscapeSequenceThatFollowsOneBackslash,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldConvertEscapeSequenceThatFollowsTwoBackslashes,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldConvertEscapeSequenceThatFollowsTwoBackslashes,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldConvertEscapeSequenceThatFollowsTwoBackslashes,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldConvertEscapeSequenceThatFollowsTwoBackslashes,8,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,differentReadMethodsShouldBeUsableOnTheSameStream,26,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldIgnoreEscapeSequenceThatFollowsThreeBackslashes,23,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldIgnoreEscapeSequenceThatFollowsThreeBackslashes,14,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldIgnoreEscapeSequenceThatFollowsThreeBackslashes,14,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldIgnoreEscapeSequenceThatFollowsThreeBackslashes,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldIgnoreIncompleteEscapeSequenceThatFollowsOneBackslash,17,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldIgnoreIncompleteEscapeSequenceThatFollowsOneBackslash,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldIgnoreIncompleteEscapeSequenceThatFollowsOneBackslash,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldIgnoreIncompleteEscapeSequenceThatFollowsOneBackslash,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,readShouldIgnoreMalformedEscapeSequenceThatFollowsOneBackslash,41,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_ShouldIgnoreMalformedEscapeSequenceThatFollowsOneBackslash,23,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_charArray_int_int_ShouldIgnoreMalformedEscapeSequenceThatFollowsOneBackslash,23,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,read_CharBuffer_ShouldIgnoreMalformedEscapeSequenceThatFollowsOneBackslash,9,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,differentReadMethodsShouldHaveACommonEscapeSequenceHandling,29,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,skipShouldThrowExceptionIfToSkipIsNegative,3,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,skipShouldNotDoAnythingIfToSkipIsZero,11,1,0
.,org.jedit.io,Native2ASCIIEncodingTest,skipShouldSkipGivenAmountIfAvailable,10,1,0
