,Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,StatusBarOptionPane,3,1,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,_init,89,2,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,_save,20,3,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,updateButtons,7,1,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,updatePreview,10,3,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,actionPerformed,56,12,1,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,valueChanged,3,1,1,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,getListCellRendererComponent,8,2,5,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,WidgetSelectionDialog,78,6,2,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,WidgetSelectionDialog,3,1,1,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,ok,9,2,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,cancel,4,1,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,getValue,3,1,0,,,,,
,.,org.gjt.sp.jedit.options,StatusBarOptionPane,actionPerformed,19,5,1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,StatusBar,28,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,propertiesChanged,54,6,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,addNotify,4,1,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,removeNotify,4,1,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,run,17,4,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,waiting,3,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,running,2,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,done,3,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,statusUpdated,2,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,maximumUpdated,2,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,valueUpdated,2,1,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,getMessage,3,1,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,setMessageAndClear,12,2,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,actionPerformed,3,2,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,setMessage,12,4,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,setMessageComponent,8,2,1,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,updateCaretStatus,54,12,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,updateBufferStatus,9,1,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,updateMiscStatus,5,1,0,,,,,
,.,org.gjt.sp.jedit.gui,StatusBar,getWidget,13,11,1,,,,,
