Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.jedit.io,Native2ASCIIEncodingTest,0.025423729,6,0,118,114,1151,123,0,0,0,2
.,org.jedit.io,ThrottledPushbackReader,-1,0,0,2,2,22,6,0,0,0,0
.,org.jedit.io,Native2ASCIIEncoding,0.523809524,8,0,21,16,247,56,0,1,1,2
.,org.jedit.io,Native2ASCIIReader,0,6,0,8,5,176,37,0,0,0,1
.,org.jedit.options,CombinedOptions,0.75,3,0,4,4,34,5,0,2,0,4
.,org.jedit.options,OptionGroupPane,0,8,0,10,3,208,42,0,2,2,8
.,org.jedit.options,TabbedOptionDialog,0.166666667,6,0,12,11,105,18,1,1,0,5
.,org.jedit.options,TitleChanger,-1,0,0,1,1,5,1,0,0,0,0
.,org.jedit.options,GlobalOptionGroup,0.666666667,1,0,3,2,40,8,0,1,1,2
.,org.jedit.options,PluginOptionGroup,-1,0,0,3,3,36,8,0,1,1,4
.,org.jedit.options,NoPluginsPane,-1,0,0,1,1,5,1,0,2,0,0
.,org.jedit.options,OptionTreeModel,0.5,2,0,14,10,96,29,1,0,3,1
.,org.jedit.core,MigrationService,-1,0,0,1,0,8,1,2,0,1,0
.,org.jedit.core,FileOpenerService,-1,0,0,2,2,27,5,0,0,0,2
.,org.jedit.keymap,KeymapManager,-1,1,0,8,0,58,8,1,0,7,0
.,org.jedit.keymap,KeymapImpl,0,4,0,9,6,80,14,0,1,0,5
.,org.jedit.keymap,KeymapManagerImpl,0,4,0,14,9,122,28,0,1,2,5
.,org.jedit.keymap,KeymapFileFilter,-1,0,0,1,1,10,1,0,0,0,0
.,org.jedit.keymap,EmacsUtil,0,2,0,25,25,214,59,0,0,0,8
.,org.jedit.keymap,Keymap,-1,0,0,3,0,22,3,1,0,12,0
.,org.jedit.migration,OneTimeMigrationService,0,1,0,3,3,36,6,1,1,2,3
.,org.jedit.migration,KeymapMigration,-1,0,0,1,1,27,5,0,1,0,3
.,org.jedit.migration,CheckFileStatus,-1,0,0,2,2,11,3,0,2,0,2
.,org.gjt.sp.util,RunRequestsInAWTThread,-1,0,0,2,1,29,3,0,0,0,2
.,org.gjt.sp.util,EnhancedTreeCellRenderer,0,1,0,4,2,40,9,4,0,0,0
.,org.gjt.sp.util,ProgressObserver,-1,0,0,3,0,26,3,2,0,3,0
.,org.gjt.sp.util,ThreadAbortMonitor,-1,0,0,1,0,7,1,0,0,0,0
.,org.gjt.sp.util,StringList,0.5,1,0,10,10,77,16,0,0,6,1
.,org.gjt.sp.util,IOUtilities,-1,0,0,10,9,172,24,0,0,37,4
.,org.gjt.sp.util,PropertiesBean,0,2,0,8,3,139,35,0,0,0,1
.,org.gjt.sp.util,TaskManager,0.15,5,1,20,10,157,35,0,0,24,5
