Project Name,Package Name,Type Name,Code Smell
.,org.pdfsam.merge,MergeModule,Unutilized Abstraction
.,org.pdfsam.merge,ModuleConfig,Unutilized Abstraction
.,org.pdfsam.merge,MergeOptionsPaneTest,Unutilized Abstraction
.,org.pdfsam.merge,MergeOptionsPaneTest,Deficient Encapsulation
.,org.pdfsam.merge,MergeParametersBuilderTest,Unutilized Abstraction
.,org.pdfsam.merge,MergeParametersBuilderTest,Deficient Encapsulation
.,org.pdfsam.merge,MergeSelectionPaneTest,Unutilized Abstraction
.,org.pdfsam.merge,MergeSelectionPaneTest,Deficient Encapsulation
.,org.pdfsam,Cycles,Unnecessary Abstraction
.,org.pdfsam,Cycles,Unutilized Abstraction
