Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
.,org.pdfsam.merge,MergeModule,6,0,13,11,74,14,0,0,0.230769231,0,3
.,org.pdfsam.merge,ModuleConfig,0,0,4,4,14,4,0,0,-1,0,0
.,org.pdfsam.merge,MergeOptionsPane,6,0,5,4,91,5,0,0,0,2,1
.,org.pdfsam.merge,MergeParametersBuilder,8,0,10,2,62,11,0,0,0,6,0
.,org.pdfsam.merge,MergeSelectionPane,1,0,2,2,22,3,0,0,1,2,1
.,org.pdfsam.merge,MergeOptionsPaneTest,4,1,6,6,92,6,0,0,0,0,2
.,org.pdfsam.merge,MergeParametersBuilderTest,1,1,1,1,36,1,0,0,0,0,1
.,org.pdfsam.merge,MergeSelectionPaneTest,7,3,7,6,61,7,0,0,0,0,2
.,org.pdfsam,Cycles,0,0,0,0,5,0,0,0,-1,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Class Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,,
MergeModule,6,0,13,11,74,14,0,0,0.230769,0,3,,
ModuleConfig,0,0,4,4,14,4,0,0,-1,0,0,,
MergeOptionsPane,6,0,5,4,91,5,0,0,0,2,1,,
MergeParametersBuilder,8,0,10,2,56,10,0,0,0,6,0,,
MergeSelectionPane,1,0,2,2,22,3,0,0,1,2,1,,
MergeOptionsPaneTest,4,1,6,6,92,6,0,0,0,0,2,,
MergeParametersBuilderTest,1,1,1,1,36,1,0,0,0,0,1,,
MergeSelectionPaneTest,7,3,7,6,61,7,0,0,0,0,2,,
Cycles,0,0,0,0,5,0,0,0,-1,0,0,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type Name,MethodName,LOC,CC,PC,,,,,,,,,
MergeModule,MergeModule,6,1,3,,,,,,,,,
MergeModule,descriptor,3,1,0,,,,,,,,,
MergeModule,onSaveWorkspace,6,1,1,,,,,,,,,
MergeModule,onLoadWorkspace,6,1,1,,,,,,,,,
MergeModule,getBuilder,8,1,1,,,,,,,,,
MergeModule,settingPanel,7,1,0,,,,,,,,,
MergeModule,id,3,1,0,,,,,,,,,
MergeModule,onClearModule,6,2,1,,,,,,,,,
MergeModule,graphic,3,1,0,,,,,,,,,
MergeModule,destinationFileField,3,1,0,,,,,,,,,
MergeModule,destinationPane,3,1,2,,,,,,,,,
MergeModule,footer,3,1,2,,,,,,,,,
MergeModule,openButton,3,1,0,,,,,,,,,
ModuleConfig,destinationFileField,3,1,0,,,,,,,,,
ModuleConfig,destinationPane,3,1,2,,,,,,,,,
ModuleConfig,footer,3,1,2,,,,,,,,,
ModuleConfig,openButton,3,1,0,,,,,,,,,
MergeOptionsPane,MergeOptionsPane,47,1,0,,,,,,,,,
MergeOptionsPane,resetView,8,1,0,,,,,,,,,
MergeOptionsPane,apply,8,1,2,,,,,,,,,
MergeOptionsPane,saveStateTo,8,1,1,,,,,,,,,
MergeOptionsPane,restoreStateFrom,8,1,1,,,,,,,,,
MergeParametersBuilder,addInput,3,1,1,,,,,,,,,
MergeParametersBuilder,hasInput,3,1,0,,,,,,,,,
MergeParametersBuilder,outlinePolicy,3,1,1,,,,,,,,,
MergeParametersBuilder,blankPageIfOdd,3,1,1,,,,,,,,,
MergeParametersBuilder,footer,3,1,1,,,,,,,,,
MergeParametersBuilder,normalize,3,1,1,,,,,,,,,
MergeParametersBuilder,acroFormsPolicy,3,1,1,,,,,,,,,
MergeParametersBuilder,tocPolicy,3,1,1,,,,,,,,,
MergeParametersBuilder,output,3,1,1,,,,,,,,,
MergeParametersBuilder,build,15,1,0,,,,,,,,,
MergeSelectionPane,MergeSelectionPane,3,1,1,,,,,,,,,
MergeSelectionPane,apply,12,2,2,,,,,,,,,
MergeOptionsPaneTest,setUp,4,1,0,,,,,,,,,
MergeOptionsPaneTest,start,6,1,1,,,,,,,,,
MergeOptionsPaneTest,validSteps,11,1,0,,,,,,,,,
MergeOptionsPaneTest,onSaveWorkspace,11,1,0,,,,,,,,,
MergeOptionsPaneTest,restoreStateFrom,22,1,0,,,,,,,,,
MergeOptionsPaneTest,reset,29,1,0,,,,,,,,,
MergeParametersBuilderTest,build,30,1,0,,,,,,,,,
MergeSelectionPaneTest,setUp,5,1,0,,,,,,,,,
MergeSelectionPaneTest,empty,5,1,0,,,,,,,,,
MergeSelectionPaneTest,emptyByZeroPagesSelected,7,1,0,,,,,,,,,
MergeSelectionPaneTest,emptyPageSelection,9,1,0,,,,,,,,,
MergeSelectionPaneTest,notEmptyPageSelection,10,1,0,,,,,,,,,
MergeSelectionPaneTest,converstionException,7,1,0,,,,,,,,,
MergeSelectionPaneTest,populate,6,1,0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,,
RotateModule,7,0,14,12,87,15,0,0,0.214285714,0,3,,
ModuleConfig,0,0,5,5,17,5,0,0,-1,0,0,,
RotateOptionsPane,2,0,5,4,39,5,0,0,0,2,1,,
RotateParametersBuilder,5,0,9,5,50,10,0,0,0,6,0,,
RotateSelectionPane,1,0,2,2,22,3,0,0,1,2,1,,
RotateOptionsPaneTest,2,1,5,5,50,5,0,0,0,0,2,,
RotateParametersBuilderTest,2,1,4,4,60,4,0,0,0,0,1,,
RotateSelectionPaneTest,7,3,7,6,61,7,0,0,0,0,2,,
Cycles,0,0,0,0,5,0,0,0,-1,0,0,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type Name,MethodName,LOC,CC,PC,,,,,,,,,
RotateModule,RotateModule,7,1,4,,,,,,,,,
RotateModule,descriptor,3,1,0,,,,,,,,,
RotateModule,getBuilder,9,1,1,,,,,,,,,
RotateModule,onSaveWorkspace,7,1,1,,,,,,,,,
RotateModule,onLoadWorkspace,7,1,1,,,,,,,,,
RotateModule,settingPanel,11,1,0,,,,,,,,,
RotateModule,id,3,1,0,,,,,,,,,
RotateModule,onClearModule,7,2,1,,,,,,,,,
RotateModule,graphic,3,1,0,,,,,,,,,
RotateModule,destinationDirectoryField,3,1,0,,,,,,,,,
RotateModule,destinationPane,3,1,2,,,,,,,,,
RotateModule,footer,3,1,2,,,,,,,,,
RotateModule,openButton,3,1,0,,,,,,,,,
RotateModule,prefixPane,3,1,1,,,,,,,,,
ModuleConfig,destinationDirectoryField,3,1,0,,,,,,,,,
ModuleConfig,destinationPane,3,1,2,,,,,,,,,
ModuleConfig,footer,3,1,2,,,,,,,,,
ModuleConfig,openButton,3,1,0,,,,,,,,,
ModuleConfig,prefixPane,3,1,1,,,,,,,,,
RotateOptionsPane,RotateOptionsPane,15,1,0,,,,,,,,,
RotateOptionsPane,resetView,4,1,0,,,,,,,,,
RotateOptionsPane,apply,4,1,2,,,,,,,,,
RotateOptionsPane,saveStateTo,4,1,1,,,,,,,,,
RotateOptionsPane,restoreStateFrom,4,1,1,,,,,,,,,
RotateParametersBuilder,addInput,8,2,2,,,,,,,,,
RotateParametersBuilder,hasInput,3,1,0,,,,,,,,,
RotateParametersBuilder,output,3,1,1,,,,,,,,,
RotateParametersBuilder,prefix,3,1,1,,,,,,,,,
RotateParametersBuilder,getOutput,3,1,0,,,,,,,,,
